page,text,image_id
10,phải không?,D0120T
10,còn bạn?,D0121
10,cần không?,D0122B
10,cần không?,D0122N
10,cần không?,D0122T
10,nên không?,D0123B
11,nên không?,D0123N
11,nên không?,D0123T
11,kia,D0124
11,nóng tính,D0125
11,sợ không?,D0126
11,căm thù,D0127
11,đẹp không? (người),D0128B
11,đẹp không? (người),D0128N
11,đẹp không? (người),D0128T
11,không đẹp,D0129B
11,không đẹp,D0129N
11,không đẹp,D0129T
11,chúng tôi (2 người) (đại từ),D0130
11,chúng tôi (3 người) (đại từ),D0131
11,chúng tôi (4 người) (đại từ),D0132
11,chúng tôi (5 người) (đại từ),D0133
11,chúng tôi (đại từ),D0134
11,các bạn (2 người),D0135
11,họ (2 người) (đại từ),D0136
11,họ (đại từ),D0137
12,bạn yêu tôi,D0138
12,tôi yêu bạn ấy,D0139
12,bạn ấy yêu tôi,D0140
12,bạn yêu bạn ấy,D0141
12,bạn ấy yêu bạn,D0142
12,"anh hai, anh cả",D0143B
12,"anh hai, anh cả",D0143N
12,"anh hai, anh cả",D0143T
12,"chị hai, chị cả",D0144B
12,"chị hai, chị cả",D0144N
12,"chị hai, chị cả",D0144T
12,quả bầu hồ lô,D0145
12,một là,D0146
12,hai là,D0147
12,ba là,D0148
12,bốn là,D0149
12,năm là,D0150
12,ông bà,D0151B
12,ông bà,D0151N
12,ông bà,D0151T
13,chị họ,D0152B
13,chị họ,D0152N
13,chị họ,D0152T
13,em họ,D0153B
13,em họ,D0153N
13,em họ,D0153T
13,cháu họ,D0154B
13,cháu họ,D0154N
13,cháu họ,D0154T
13,sống sót,D0155B
13,sống sót,D0155N
13,sống sót,D0155T
13,thường xuyên,D0156
13,thường xuyên,D0156B
13,thường xuyên,D0156N
13,thường xuyên,D0156T
13,đi dạo,D0157B
13,đi dạo,D0157N
13,đi dạo,D0157T
13,về (Sài Gòn),D0158N
14,về 2 (Miền Bắc),D0159B
14,về 2 (Miền Bắc),D0159T
14,về 3 (đi về),D0160
14,về 4 (từ nơi khác về),D0161
14,về 5 (về nhà),D0162
14,hẹn,D0163B
14,hẹn,D0163N
14,hẹn,D0163T
14,quyến luyến,D0164
14,hứa,D0165B
14,hứa,D0165N
14,hứa,D0165T
14,cùng / với (giới từ),D0166
14,lâu,D0167
14,lâu,D0167B
14,vẫn,D0168B
14,vẫn,D0168N
14,vẫn,D0168T
14,mỗi ngày,D0169B
14,mỗi ngày,D0169N
15,mỗi ngày,D0169T
15,hàng ngày,D0170B
15,hàng ngày,D0170N
15,hàng ngày,D0170T
15,ăn vú sữa (bằng thìa),D0171
15,ăn vú sữa,D0172
15,hôi,D0173
15,trông nhà,D0174
15,chạy (động vật),D0175
15,xe container,D0176
15,bay nhanh (máy bay),D0177
15,chậm chạp,D0178
15,ngừng lại,D0179
15,5 > 3 (Toán học),D0180
15,2 < 6 (Toán học),D0181
15,cung điện,D0182B
15,cung điện,D0182N
15,cung điện,D0182T
15,dừng lại,D0183
15,một ít/ một chút,D0184
16,kẹt xe/tắc đường,D0185
16,suy ra (Toán học),D0186
16,thì thầm,D0187
16,hoặc,D0188B
16,hoặc,D0188N
16,hoặc,D0188T
16,muốn không?,D0189B
16,muốn không?,D0189N
16,muốn không?,D0189T
16,không muốn,D0190B
16,không muốn,D0190N
16,không muốn,D0190T
16,sa mạc,D0191
16,xem,D0192B
16,xem,D0192N
